system,scenario,source,target,TP,TN,FP,FN,MCC,F1,ADP
flash,S3,CADETS_E3,THEIA_E3,0,700784,0,118,0,0.0,0.0
flash,S4,THEIA_E3,CADETS_E3,0,281517,0,68,0,0.0,0.0
flash,S5,THEIA_E3,optc_h501,0,1488449,0,749,0,0.0,0.001
flash,S6,optc_h501,THEIA_E3,0,700784,0,118,0,0.0,0.0
flash,S7,optc_h201,CADETS_E3,32,116108,165409,36,-0.00369,0.00039,0.098
flash,S8,CADETS_E3,optc_h051,0,1470510,0,114,0,0.0,0.002
orthrus,S3,CADETS_E3,THEIA_E3,0,700778,6,118,-4e-05,0.0,0.005
orthrus,S4,THEIA_E3,CADETS_E3,0,281511,6,68,-7e-05,0.0,0.024
orthrus,S5,THEIA_E3,optc_h501,0,1488444,5,749,-4e-05,0.0,0.061
orthrus,S6,optc_h501,THEIA_E3,0,700778,6,118,-4e-05,0.0,0.005
orthrus,S7,optc_h201,CADETS_E3,0,281511,6,68,-7e-05,0.0,0.024
orthrus,S8,CADETS_E3,optc_h051,0,1470487,23,114,-3e-05,0.0,0.002
velox,S3,CADETS_E3,THEIA_E3,55,683783,17001,63,0.0372,0.00641,0.003
velox,S4,THEIA_E3,CADETS_E3,0,281506,11,68,-0.0001,0.0,0.0
velox,S5,THEIA_E3,optc_h501,0,1488448,1,749,-2e-05,0.0,0.003
velox,S6,optc_h501,THEIA_E3,55,683783,17001,63,0.0372,0.00641,0.003
velox,S7,optc_h201,CADETS_E3,0,281506,11,68,-0.0001,0.0,0.0
velox,S8,CADETS_E3,optc_h051,0,1470510,0,114,0,0.0,0.003
